word,variant,description,elapsed_seconds,frame_count,visible_hand_frames,hand_coverage,bone_span_p95_max,bone_cv_mean,max_joint_bend_degrees,joint_sample_count,joint_violation_count,joint_violation_rate,topology_sample_count,topology_invalid_count,topology_error_rate,motion_transition_count,moving_transition_count,motion_preservation_rate,motion_step_p95,jerk_sample_count,temporal_jerk_mean,deviation_from_full
abdomen,default_s08_r1_a115,"hand sigma=0.8, radius=1, joint limit=115.0 degrees",1.5159568000817671,137,65,0.23722627737226276,1.4484193175815826e-14,2.3557878502215697e-15,96.61340327752488,975,0,0.0,65,3,0.046153846153846156,64,63,0.984375,0.297561676341101,62,0.027795625070305818,0.0
abdomen,light_s06_r1_a115,"hand sigma=0.6, radius=1, joint limit=115.0 degrees",1.38155699998606,137,65,0.23722627737226276,1.3908057098772834e-14,2.275654363438455e-15,95.34006303247047,975,0,0.0,65,3,0.046153846153846156,64,62,0.96875,0.3377560760821863,62,0.03712998605008404,0.0031941651061532807
abdomen,smooth_s10_r1_a115,"hand sigma=1.0, radius=1, joint limit=115.0 degrees",1.3865990000776947,137,65,0.23722627737226276,1.8666722038902777e-14,2.3481569911882924e-15,97.18861758109709,975,0,0.0,65,3,0.046153846153846156,64,63,0.984375,0.2736172627530401,62,0.02426336349682966,0.0015798548676325143
abdomen,smooth_s10_r2_a115,"hand sigma=1.0, radius=2, joint limit=115.0 degrees",1.3719850999768823,137,65,0.23722627737226276,1.5125744606430482e-14,2.361075827499592e-15,99.9546450354042,975,0,0.0,65,3,0.046153846153846156,64,64,1.0,0.2722026212588868,62,0.017233161831246114,0.006449780105809949
abdomen,smooth_s12_r2_a115,"hand sigma=1.2, radius=2, joint limit=115.0 degrees",1.5818558000028133,137,65,0.23722627737226276,1.4599533264658692e-14,2.349017079490224e-15,99.53054613605738,975,0,0.0,65,3,0.046153846153846156,64,64,1.0,0.23720947707315687,62,0.013528157575557786,0.010048229089239307
abdomen,joint_s08_r1_a110,"hand sigma=0.8, radius=1, joint limit=110.0 degrees",1.2579172999830917,137,65,0.23722627737226276,1.4484193175815826e-14,2.3557878502215697e-15,96.61340327752488,975,0,0.0,65,3,0.046153846153846156,64,63,0.984375,0.297561676341101,62,0.027795625070305818,0.0
abdomen,joint_s08_r1_a105,"hand sigma=0.8, radius=1, joint limit=105.0 degrees",1.5180828999727964,137,65,0.23722627737226276,1.4484193175815826e-14,2.3557878502215697e-15,96.61340327752488,975,0,0.0,65,3,0.046153846153846156,64,63,0.984375,0.297561676341101,62,0.027795625070305818,0.0
abdomen,balanced_s10_r2_a110,"hand sigma=1.0, radius=2, joint limit=110.0 degrees",1.362081400002353,137,65,0.23722627737226276,1.5125744606430482e-14,2.361075827499592e-15,99.9546450354042,975,0,0.0,65,3,0.046153846153846156,64,64,1.0,0.2722026212588868,62,0.017233161831246114,0.006449780105809949
abdomen,smooth_s12_r2_a110,"hand sigma=1.2, radius=2, joint limit=110.0 degrees",1.6377992999041453,137,65,0.23722627737226276,1.4599533264658692e-14,2.349017079490224e-15,99.53054613605738,975,0,0.0,65,3,0.046153846153846156,64,64,1.0,0.23720947707315687,62,0.013528157575557786,0.010048229089239307
hello,default_s08_r1_a115,"hand sigma=0.8, radius=1, joint limit=115.0 degrees",1.8433381000068039,179,71,0.19832402234636873,1.1816252761083604e-14,1.9532022909485755e-15,115.00000000000004,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5312732936424276,68,0.053023554210291056,0.0
hello,light_s06_r1_a115,"hand sigma=0.6, radius=1, joint limit=115.0 degrees",1.763770299963653,179,71,0.19832402234636873,1.1189748822838672e-14,1.966433316203954e-15,105.4486397174018,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5343957664281047,68,0.06638639979758185,0.005460210408751631
hello,smooth_s10_r1_a115,"hand sigma=1.0, radius=1, joint limit=115.0 degrees",2.0432311999611557,179,71,0.19832402234636873,1.149689963700404e-14,1.9301494725037093e-15,115.00000000000026,1065,0,0.0,71,16,0.22535211267605634,70,68,0.9714285714285714,0.5364881279669331,68,0.05014888197627459,0.002662951149167404
hello,smooth_s10_r2_a115,"hand sigma=1.0, radius=2, joint limit=115.0 degrees",1.658335099928081,179,71,0.19832402234636873,1.262074541999139e-14,2.084156858386264e-15,109.14512810851424,1065,0,0.0,71,16,0.22535211267605634,70,70,1.0,0.5544145664416437,68,0.04433468993735863,0.011767606926529789
hello,smooth_s12_r2_a115,"hand sigma=1.2, radius=2, joint limit=115.0 degrees",1.7409234999213368,179,71,0.19832402234636873,1.3251313788441377e-14,2.0069084486198918e-15,108.68418272684879,1065,0,0.0,71,16,0.22535211267605634,70,70,1.0,0.5675340030136334,68,0.040753795680675935,0.018262462844798835
