word,variant,description,elapsed_seconds,frame_count,visible_hand_frames,hand_coverage,bone_span_p95_max,bone_cv_mean,max_joint_bend_degrees,joint_sample_count,joint_violation_count,joint_violation_rate,topology_sample_count,topology_invalid_count,topology_error_rate,motion_transition_count,moving_transition_count,motion_preservation_rate,motion_step_p95,jerk_sample_count,temporal_jerk_mean,deviation_from_full
abdomen,full,Full hybrid pipeline (3D SLERP + repair + smoothing + bone stabilizer + fixed-length joints),1.3481426000362262,137,65,0.23722627737226276,1.4484193175815826e-14,2.3557878502215697e-15,96.61340327752488,975,0,0.0,65,3,0.046153846153846156,64,63,0.984375,0.297561676341101,62,0.027795625070305818,0.0
abdomen,no_3d_slerp,Replace 3D kinematic hand interpolation with flat linear interpolation,1.170320599921979,137,65,0.23722627737226276,1.7418059009605305e-14,2.4559241527420532e-15,102.76966166626913,975,0,0.0,65,3,0.046153846153846156,64,62,0.96875,0.3406882986847459,62,0.028751431694582136,0.0020781139229852502
abdomen,no_gap_repair,Disable internal hand-gap repair and detection-edge fading,1.2753038000082597,137,63,0.22992700729927007,1.4970691184125897e-14,2.3305406205505536e-15,114.99999999999984,945,0,0.0,63,3,0.047619047619047616,62,62,1.0,0.29765907099631733,60,0.02794802856775806,0.003333168235973248
abdomen,no_hand_smoothing,Disable confidence-aware Gaussian hand smoothing,1.1232671999605373,137,65,0.23722627737226276,1.620906717767578e-14,2.3912114359007634e-15,99.3066675626513,975,0,0.0,65,4,0.06153846153846154,64,51,0.796875,0.3935906777008151,62,0.06329042728138792,0.01048107302216327
abdomen,no_bone_stabilizer,Disable severe bone-length outlier stabilization,1.4102001000428572,137,65,0.23722627737226276,1.4484193175815826e-14,2.3538403972189276e-15,96.03327527064374,975,0,0.0,65,3,0.046153846153846156,64,62,0.96875,0.2978713829413788,62,0.027798540474960314,9.286591661272878e-05
abdomen,no_fixed_length,Disable final fixed-length articulated-chain projection,1.2480267999926582,137,65,0.23722627737226276,0.9736667837119436,0.16228807991781297,96.61340327752542,975,0,0.0,65,0,0.0,64,62,0.96875,0.36903625035685383,62,0.0312436977171786,0.07485628011270123
abdomen,no_joint_limit,Keep fixed bone lengths but relax joint bend limit to 175 degrees,1.3339147999649867,137,65,0.23722627737226276,1.4484193175815826e-14,2.3557878502215697e-15,96.61340327752488,975,0,0.0,65,3,0.046153846153846156,64,63,0.984375,0.297561676341101,62,0.027795625070305818,0.0
abdomen,raw_hand_baseline,"Linear hand interpolation without gap repair, hand smoothing, bone stabilization, or articulation",1.0655501000583172,137,63,0.22992700729927007,0.9523627890875155,0.17067606094935217,85.27353286197169,945,0,0.0,63,0,0.0,62,51,0.8225806451612904,0.5113207675503117,60,0.0675966795131124,0.07600298315245987
hello,full,Full hybrid pipeline (3D SLERP + repair + smoothing + bone stabilizer + fixed-length joints),1.9236767999827862,179,71,0.19832402234636873,1.1816252761083604e-14,1.9532022909485755e-15,115.00000000000004,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5312732936424276,68,0.053023554210291056,0.0
hello,no_3d_slerp,Replace 3D kinematic hand interpolation with flat linear interpolation,1.733437400078401,179,71,0.19832402234636873,1.2020094975307862e-14,2.0743279067261838e-15,114.99999999999994,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5382329891254031,68,0.10251773981050688,0.015673188740382805
hello,no_gap_repair,Disable internal hand-gap repair and detection-edge fading,1.4811633999925107,179,66,0.18435754189944134,1.1816252761083604e-14,1.9294104001255893e-15,103.22746631894661,990,0,0.0,66,17,0.25757575757575757,64,62,0.96875,0.38728435840736475,60,0.03602548835272063,0.017105637167056657
hello,no_hand_smoothing,Disable confidence-aware Gaussian hand smoothing,1.7434559999965131,179,71,0.19832402234636873,1.0821492750913947e-14,1.9283104842247638e-15,114.99999999999959,1065,0,0.0,71,19,0.2676056338028169,70,66,0.9428571428571428,0.6289898930961507,68,0.12082101195885438,0.017411942415218627
hello,no_bone_stabilizer,Disable severe bone-length outlier stabilization,1.5496191999409348,179,71,0.19832402234636873,1.2754050599264844e-14,1.9859113022221822e-15,103.22746631894661,1065,0,0.0,71,17,0.23943661971830985,70,68,0.9714285714285714,0.5326678868966208,68,0.05515338146056091,0.0017175537688028924
hello,no_fixed_length,Disable final fixed-length articulated-chain projection,1.6295266000088304,179,71,0.19832402234636873,0.9067608687330774,0.21463823552056543,119.84577283094055,1065,2,0.0018779342723004694,71,16,0.22535211267605634,70,68,0.9714285714285714,0.758438835855998,68,0.04743263963408096,0.15839127297464348
